"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"197","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1132","Мехатроника с разширено изучаване на АЕ","професионална","Мехатроника","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","521140","Мехатроника","5211401","Трета степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"198","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1139","Организация на туризма и свободното време с разширено изучаване на АЕ","професионална","Организация на туризма и свободното време","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","812010","Организатор на туристическа агентска дейност","8120101","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"199","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","1144","Електронна търговия с разширено изучаване на АЕ","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ЧЕз)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"200","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3606","Техник на компютърни системи с разширено изучаване на АЕ","професионална","Компютърна техника и технологии","(2 * БЕЛ + 2 * МАТ) + (1 * КМИТ + 1 * ТП)","523050","Техник на компютърни системи","5230501","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","разширено"
"201","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3607","Дизайнер с разширено изучаване на АЕ","професионална","Рекламна графика","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","214010","Дизайнер","2140112","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"202","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3849","Производство на хляб, хлебни и сладкарски изделия без интензивно и без разширено изучаване на АЕ","професионална","Производство на хляб, хлебни и сладкарски изделия","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","541010","Техник - технолог в хранително - вкусовата промишленост","5410102","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"203","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601363","Професионална гимназия  ""Генерал Владимир Заимов"", ГР.СОПОТ","3852","Кетъринг без интензивно и без разширено  изучаване на АЕ","професионална","Кетъринг","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * ТП)","811060","Ресторантьор","8110603","Трета степен","Не","Не","дневна","5 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"204","ПЛОВДИВ","СОПОТ","ГР.СОПОТ","1601303","Средно училище  ""Иван Вазов"", ГР.СОПОТ","3842","Софтуерни и хардуерни науки","профилирана","Софтуерни и хардуерни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","","","80111","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"205","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски, ГР.СТАМБОЛИЙСКИ","3694","Работник в производството на облекло","професионална","Производство на облекло","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","542090","Работник в производство на облекло","5420901","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"206","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602904","Обединено училище ""Христо Ботев"" гр. Стамболийски, ГР.СТАМБОЛИЙСКИ","3695","Помощник в строителството","професионална","Основни и довършителни работи","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","582080","Помощник в строителството","5820801","Първа степен","Не","Да","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"207","ПЛОВДИВ","СТАМБОЛИЙСКИ","ГР.СТАМБОЛИЙСКИ","1602907","Средно училище Отец Паисий, ГР.СТАМБОЛИЙСКИ","1833","Предприемачески","профилирана","Предприемачески","(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * КМИТ)","","","80171","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"208","ПЛОВДИВ","СЪЕДИНЕНИЕ","ГР.СЪЕДИНЕНИЕ","1603301","Средно училище ""Христо Ботев"", ГР.СЪЕДИНЕНИЕ","4915","Електронна търговия","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Френски език","без инт. и без разширено"
