"№","Област","Община","Нас. място","Код","Училище","Код на паралелката","Име","Тип","Профил/специалност","Балообразуване","Код на професията","Наименование на професията","Код на специалност от професия","Степен на професионална квалификация","Защитена професия","Професия с очакван недостиг","Форма на обучение","Срок на обучение","Брой паралелки","Общо основание","Мъже","Жени","Чужд език","Начин на изучаване"
"131","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690472","Професионална гимназия по хранителни технологии и техника, ГР.ПЛОВДИВ","1979","Топлотехника - топлинна климатична вентилационна и хладилна - техник АЕ","професионална","Топлотехника - топлинна, климатична, вентилационна и хладилна","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * М)","522030","Техник на енергийни съоръжения и инсталации","5220309","Трета степен","Не","Да","дуална","5 години","1","26","0","0","Английски език","разширено"
"132","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690472","Професионална гимназия по хранителни технологии и техника, ГР.ПЛОВДИВ","1992","Технология в биопроизводствата - Биотехнолог АЕ","професионална","Технология в биопроизводствата","(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО)","524020","Биотехнолог","5240201","Трета степен","Не","Да","дневна","5 години","1","26","0","0","Английски език","разширено"
"133","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690542","Средно училище ""Братя Миладинови"", ГР.ПЛОВДИВ","5029","Продавач-консултант","професионална","Продавач - консултант","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","341020","Продавач - консултант","3410201","Втора степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","разширено"
"134","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690642","Средно училище Димитър Матевски"", ГР.ПЛОВДИВ","3686","Организатор интернет приложения, Електронна търговия, разширено изучаване на чужд език АЕ","професионална","Електронна търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * КМИТ)","482040","Организатор Интернет приложения","4820401","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"135","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690642","Средно училище Димитър Матевски"", ГР.ПЛОВДИВ","5102","Икономист, Търговия, разширено изучаване на чужд език АЕ","професионална","Търговия","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ГИ)","345120","Икономист","3451202","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"136","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690549","Средно училище  "" Константин Величков "", ГР.ПЛОВДИВ","2726","Природни науки АЕ","профилирана","Природни науки","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ХООС)","","","80131","","Не","Не","дневна","5 години","1","26","0","0","Английски език","разширено"
"137","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690150","Средно училище  ""Любен Каравелов"", ГР.ПЛОВДИВ","5033","Музика АЕ","профилирана","Музика","(1 * БЕЛ + 1 * МАТ + 2 * МУЗ) + (1 * Муз. + 1 * ЧЕз)","","","80151","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"138","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690150","Средно училище  ""Любен Каравелов"", ГР.ПЛОВДИВ","5034","Музика ИТ","профилирана","Музика","(1 * БЕЛ + 1 * МАТ + 2 * МУЗ) + (1 * Муз. + 1 * КМИТ)","","","80151","","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"139","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690247","Средно училище ""Найден Геров"", ГР.ПЛОВДИВ","734","Шивач","професионална","Шивачество","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","542110","Шивач","5421101","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"140","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690247","Средно училище ""Найден Геров"", ГР.ПЛОВДИВ","739","Работник в дървообработването","професионална","Производство на мебели","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","543090","Работник в дървообработването","5430906","Първа степен","Не","Не","дневна","3 години","0.5","13","0","0","Английски език","без инт. и без разширено"
"141","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690247","Средно училище ""Найден Геров"", ГР.ПЛОВДИВ","4758","Озеленител","професионална","Парково строителство и озеленяване","(2 * БЕЛ + 2 * МАТ) + (1 * БЗО + 1 * ТП)","622020","Озеленител","6220202","Втора степен","Не","Не","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"142","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690247","Средно училище ""Найден Геров"", ГР.ПЛОВДИВ","4834","Монтажник на водоснабдителни и канализационни мрежи","професионална","Вътрешни ВиК мрежи","(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * ТП)","582050","Монтажник на водоснабдителни и канализационни мрежи","5820501","Втора степен","Не","Да","дуална","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"143","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690446","Средно училище  ""Никола Вапцаров"", ГР.ПЛОВДИВ","767","Бижутерия","професионална","Бижутерия","(2 * БЕЛ + 2 * МАТ) + (1 * ХООС + 1 * ИИ)","215030","Бижутер","2150301","Втора степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
"144","ПЛОВДИВ","ПЛОВДИВ","ГР.ПЛОВДИВ","1690446","Средно училище  ""Никола Вапцаров"", ГР.ПЛОВДИВ","3690","Графичен дизайн","професионална","Графичен дизайн","(2 * БЕЛ + 2 * МАТ) + (1 * ИИ + 1 * КМИТ)","213070","Графичен дизайнер","2130701","Трета степен","Не","Не","дневна","5 години","1","26","0","0","Английски език","без инт. и без разширено"
